"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061629","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","108/3777","349/18737",0.30945558739255,1.53515206274139,5.07071035928097,9.85716218522188e-07,0.000111744374954288,9.6307775991498e-05,"4853/4209/1660/64210/26287/55662/22984/6934/10579/406/2965/2113/2288/11331/23710/85004/79365/3164/6667/11176/8091/79039/6926/9612/6049/3146/170622/5687/4792/3091/2957/161582/9325/4088/25942/9915/4205/79447/6911/9739/79918/11060/9611/3728/6777/6774/10014/80279/54828/1655/23558/5771/6875/4087/6929/6597/1050/81/84922/3398/6801/2034/307/55818/10865/4929/6670/4780/9759/5111/8195/171023/8904/6714/8202/3275/7533/468/9978/10766/5468/9730/27086/3280/10891/3516/5481/5307/10915/4869/3159/60/196/57057/51085/2969/29969/6867/25879/10221/115426/23081/3301/8013/5887/9314/6256/190",108
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","62/3777","174/18737",0.35632183908046,1.76764688876107,5.11161540605923,1.37988310249481e-06,0.000143392852400919,0.000123584267337474,"26135/1660/3192/23560/10196/8531/11052/121053/7374/79612/283/10419/6729/1965/6176/4706/50628/708/51009/1984/84282/4830/1655/85451/6730/9775/55364/27335/92609/6626/4528/55037/51776/29789/55759/6628/3692/9584/54915/24148/23481/7866/83939/7345/80155/55319/23107/6728/2107/10146/23367/25929/4869/10399/23480/90459/23246/79048/92399/1654/5935/8225",62
"GO:0016887","GO:0016887","ATP hydrolysis activity","123/3777","418/18737",0.294258373205742,1.45976148762404,4.77656820469427,3.22591621222264e-06,0.000293719456329254,0.000253144443432379,"9557/57198/477/1660/493/1763/9188/6832/1244/56652/9126/89797/51202/55729/5965/1663/55605/9416/10576/490/488/79039/23457/57696/57647/317781/10257/22985/6729/3306/5890/27030/1778/3320/57194/54617/79895/4643/80119/10845/10131/4363/10847/94160/80205/11269/6687/1973/1107/10693/5892/1659/8714/79665/11325/1655/23461/9775/57674/80179/498/5205/374868/10347/9361/4650/5704/79934/9704/1653/79677/3797/11321/6683/10575/10574/1768/8886/55137/29789/5378/3329/7520/617/10058/55614/10079/51750/523/8607/5217/170506/9319/22948/1767/23517/3796/1105/10111/3313/10146/102157402/3326/23195/60/8701/54606/908/4176/5379/1080/4173/29028/23137/55582/19/64794/54863/1654/546/538/286410/8653",123
"GO:0000287","GO:0000287","magnesium ion binding","76/3777","231/18737",0.329004329004329,1.63212976239188,4.85738004273735,3.29757208388897e-06,0.000293719456329254,0.000253144443432379,"2023/65018/23139/5236/5567/57198/8872/55149/1326/3688/5464/11128/387712/9024/7465/2011/60496/120892/8445/6996/4598/5901/10914/57194/22909/79895/80119/5315/283871/5347/2027/57048/5430/5636/64132/4830/2081/8877/284131/3607/5205/374868/5609/10994/390916/10054/246243/5495/2956/10797/25885/51776/10056/129563/248/2139/10079/8566/150223/64781/7086/8801/141/170506/58478/375449/2729/2770/6009/2669/6788/10783/6197/5631/3251/286410",76
"GO:0003779","GO:0003779","actin binding","127/3777","441/18737",0.287981859410431,1.42862486094076,4.57682925399476,7.33591372599248e-06,0.000609858961087508,0.000525611783455321,"9696/3068/8407/55740/3192/10529/6840/3688/653145/3778/3983/57698/80313/4046/9645/55742/54961/4647/2059/121512/120892/51474/5074/283431/283/10979/2764/23224/26030/6710/87/79789/51466/64423/342184/54617/29766/55930/4643/83660/390594/10391/4649/226/84501/4641/5216/4628/8522/23164/2314/399687/85464/8851/3927/84951/4635/84687/25794/5034/201176/80179/55364/4645/126353/4650/53827/81/57731/634/7408/130271/5581/6711/55704/10097/84168/119/9168/822/114793/7456/4430/7145/79083/55612/11034/2036/1859/7533/11078/9463/29780/85358/1605/2317/5217/60312/22998/57619/23022/4651/4131/8507/133746/1729/1627/5071/6624/23242/1956/3092/55607/55971/830/800/57180/114/5747/5339/7169/7094/2934/81873/1730/5358/2316",127
"GO:0031267","GO:0031267","small GTPase binding","88/3777","284/18737",0.309859154929577,1.53715408681903,4.58321993229244,9.03621487716686e-06,0.000664921257192613,0.000573067660147434,"7813/9181/2665/51196/79803/22841/1793/10527/392/10938/10435/4296/9610/54843/23085/8531/2059/636/121512/10059/120892/11260/55785/22895/92558/9735/8408/64328/3843/79711/5875/5583/26030/79890/9950/64423/11214/23214/10204/9501/4641/83547/9905/5216/1856/83871/28964/3837/23580/332/57521/4645/4650/84079/126432/64857/56848/10602/7514/26056/5903/114793/11069/23677/79083/54453/29107/1434/9681/11135/26088/11078/5905/51735/1729/26999/221472/23039/80005/51571/10397/203228/9853/19/6792/538/1730/2316",88
"GO:0051020","GO:0051020","GTPase binding","96/3777","316/18737",0.30379746835443,1.50708317833121,4.56785467299948,9.0646843402361e-06,0.000664921257192613,0.000573067660147434,"2023/4904/7813/9181/2665/51196/79803/22841/1793/664/10527/392/10938/10435/4296/9610/54843/23085/8531/2059/636/121512/10059/120892/11260/55785/22895/92558/9735/8408/64328/3843/79711/5875/5583/26030/79890/9950/3320/64423/11214/23214/10204/9501/4641/83547/9905/5216/1856/83871/28964/3837/23580/332/57521/4645/4650/84079/126432/64857/10567/56848/10602/6711/7514/26056/5903/114793/11069/23677/79083/54453/29107/1434/9681/11135/26088/11078/5905/9255/51735/1729/26999/221472/23039/80005/51571/10397/203228/9853/3376/19/6792/538/1730/2316",96
"GO:0008135","GO:0008135","translation factor activity, RNA binding","34/3777","83/18737",0.409638554216867,2.03214127359318,4.7352001376915,1.16144875898581e-05,0.00080462589025295,0.000693473206388606,"8672/8661/8665/10480/1975/10985/8562/1967/1965/1983/2935/29904/1984/1973/27335/8890/4528/1933/3692/8664/80325/83939/85476/1981/2107/1915/8662/7458/10987/3646/27161/1936/1964/1968",34
"GO:0003743","GO:0003743","translation initiation factor activity","24/3777","51/18737",0.470588235294118,2.33450139388559,4.79503831806838,1.40914697970012e-05,0.000924845412466341,0.000797085355276355,"8672/8661/8665/10480/1975/8562/1967/1965/1983/1973/27335/8890/4528/3692/8664/83939/1981/8662/7458/10987/3646/27161/1964/1968",24
"GO:0003714","GO:0003714","transcription corepressor activity","67/3777","205/18737",0.326829268292683,1.62133968758274,4.49459965369635,1.55826662019063e-05,0.00097157923768886,0.000837363273270862,"2023/3068/55758/359948/3192/57713/55662/1488/595/10413/1822/55729/10138/5036/4665/8091/5074/79039/9612/3146/328/10419/91748/7090/25942/22980/10514/708/2874/9611/5245/10140/284252/4092/440498/6597/8725/79047/126374/4294/602/10848/10155/3398/57504/10865/57761/3397/57727/23543/10766/23429/84864/25937/6478/79718/55689/10409/10915/117608/5071/29883/7091/7088/6907/190/51132",67
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","78/3777","249/18737",0.313253012048193,1.5539903856889,4.42184046416275,1.85534589776139e-05,0.00110172206405165,0.000949527900558587,"9557/6944/1660/1763/6832/23063/56652/89797/57804/5883/6188/4361/440081/5965/1663/10728/8091/6996/121642/7374/57634/328/5890/27030/23405/7517/22909/54617/80119/64782/3669/4350/4913/10847/80205/79068/1107/399687/3980/5892/146956/4830/2186/284131/6597/2067/5424/1653/2956/56655/5378/7520/5111/92667/7150/51750/1776/8607/6596/170506/1105/10111/10146/3159/5980/4176/5379/252969/4173/54108/116447/6595/54107/23064/5422/1654/546/1736",78
"GO:0019902","GO:0019902","phosphatase binding","63/3777","191/18737",0.329842931937173,1.63628991678761,4.44112228480665,2.00209087517653e-05,0.00113482150970233,0.000978054920361358,"6548/343521/23139/3716/2029/493/163882/5507/81846/54843/65125/6778/29110/51434/5501/5829/51433/2308/11215/8660/90673/3958/145376/3320/7187/161742/10776/4088/7531/1742/3728/2648/6774/84687/8877/4087/5609/3718/57731/634/3783/26751/6801/5534/6772/140885/54976/26133/5770/4773/9814/57577/153769/91272/10399/2768/1956/4233/63898/114/5747/7186/1741",63
"GO:0016922","GO:0016922","nuclear receptor binding","48/3777","137/18737",0.35036496350365,1.73809592829438,4.35675116031336,3.37552720672046e-05,0.00183012279425236,0.00157730584808311,"64210/6934/10579/2965/2288/11331/85004/3164/11176/79039/9612/6049/3091/161582/9325/4088/79447/9611/3728/6777/54828/1655/23558/6597/81/6801/55818/10865/4929/5111/171023/6714/8202/3275/7533/10766/5468/9730/27086/10891/5481/3159/6867/25879/23081/8013/6256/190",48
"GO:0004725","GO:0004725","protein tyrosine phosphatase activity","37/3777","98/18737",0.377551020408163,1.87296093973729,4.3535414127835,4.24351110826343e-05,0.00220485764666854,0.00190027405330569,"8073/5792/54935/5784/27143/5728/1847/54961/1850/5777/80824/1848/1033/11099/283871/85464/11072/1845/5771/92609/5794/1844/285193/5786/994/2139/5770/5783/1843/7803/2070/7957/5782/1846/5747/5774/63904",37
"GO:0030695","GO:0030695","GTPase regulator activity","135/3777","491/18737",0.274949083503055,1.36397166470658,4.10648858874664,4.63775976819153e-05,0.00222434093497494,0.00191706587988808,"7813/8412/9181/28956/6004/23179/84033/57568/2665/8829/58504/51196/3257/23268/5662/6001/1793/6764/10527/23075/81846/392/10435/6494/9610/29984/9828/9743/55200/121512/10059/120892/57522/64786/440107/55785/54509/1967/192111/221178/90627/3843/22821/394/26030/79890/1983/10681/663/4649/23102/5923/11214/23568/25894/29/9905/23108/9135/2874/9744/201163/3996/140775/28964/57636/10672/9267/125058/396/6904/201176/57572/4650/84079/23094/126432/64857/9138/2909/9266/79735/8853/8890/6654/55704/11138/5903/23550/11069/1123/1933/25791/23677/116987/9855/140885/10483/54453/57580/5905/9779/50650/8997/152/57533/23216/10144/153478/7204/64283/51735/51306/23092/51520/10636/23061/221472/3268/10156/9639/23362/80005/50807/22898/1936/80728/203228/216/2776/5998/84253/2889/5900/7410",135
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","135/3777","491/18737",0.274949083503055,1.36397166470658,4.10648858874664,4.63775976819153e-05,0.00222434093497494,0.00191706587988808,"7813/8412/9181/28956/6004/23179/84033/57568/2665/8829/58504/51196/3257/23268/5662/6001/1793/6764/10527/23075/81846/392/10435/6494/9610/29984/9828/9743/55200/121512/10059/120892/57522/64786/440107/55785/54509/1967/192111/221178/90627/3843/22821/394/26030/79890/1983/10681/663/4649/23102/5923/11214/23568/25894/29/9905/23108/9135/2874/9744/201163/3996/140775/28964/57636/10672/9267/125058/396/6904/201176/57572/4650/84079/23094/126432/64857/9138/2909/9266/79735/8853/8890/6654/55704/11138/5903/23550/11069/1123/1933/25791/23677/116987/9855/140885/10483/54453/57580/5905/9779/50650/8997/152/57533/23216/10144/153478/7204/64283/51735/51306/23092/51520/10636/23061/221472/3268/10156/9639/23362/80005/50807/22898/1936/80728/203228/216/2776/5998/84253/2889/5900/7410",135
"GO:0004386","GO:0004386","helicase activity","52/3777","154/18737",0.337662337662338,1.67508054561271,4.22672676752518,5.08823143392496e-05,0.00235000911040905,0.00202537399377676,"9557/1660/1763/9188/6832/56652/89797/4361/440081/51202/5965/1663/9416/79039/57696/57647/57634/317781/23405/80119/10847/80205/11269/1973/1107/1659/79665/11325/1655/9775/6597/9704/1653/8886/7520/51750/8607/6596/170506/23517/1105/10111/10146/54606/4176/4173/6595/23064/64794/1654/546/8653",52
"GO:0043022","GO:0043022","ribosome binding","40/3777","110/18737",0.363636363636364,1.80393289527523,4.24903999765392,5.73720856869882e-05,0.00255510681613123,0.00220213907843665,"26135/1660/10196/11052/7374/79612/283/1965/4706/708/1984/4830/85451/6730/55364/27335/4528/55037/51776/29789/3692/54915/7866/83939/7345/80155/23107/6728/2107/10146/23367/25929/4869/10399/23480/90459/92399/1654/5935/8225",40
"GO:0035259","GO:0035259","nuclear glucocorticoid receptor binding","9/3777","12/18737",0.75,3.72061159650516,4.73688006995936,6.59938590408447e-05,0.00283773593875632,0.00244572522978956,"2288/3164/9612/4088/6777/4929/7533/6867/8013",9
"GO:0051880","GO:0051880","G-quadruplex DNA binding","8/3777","10/18737",0.8,3.96865236960551,4.71814597894505,8.22778499737386e-05,0.00337752454105278,0.00291094631867209,"1663/80119/4831/9361/7555/54464/170506/10111",8
"GO:0004879","GO:0004879","nuclear receptor activity","25/3777","59/18737",0.423728813559322,2.10204045000292,4.2599498873431,8.39641225121381e-05,0.00337752454105278,0.00291094631867209,"6097/2101/5139/3164/7181/2100/6095/10002/11057/6720/7067/9572/5914/6774/4929/5468/9975/10424/57491/2908/196/3174/8013/2649/6256",25
